Tarih,,,Value
2025-07-31T21:47:46+03:00,,,7.57
2025-07-31T21:50:47+03:00,,,7.46
2025-07-31T21:53:46+03:00,,,7.37
2025-07-31T21:56:46+03:00,,,7.23
2025-07-31T21:59:46+03:00,,,7.15
2025-07-31T22:02:46+03:00,,,6.99
2025-07-31T22:05:46+03:00,,,6.85
2025-07-31T22:08:46+03:00,,,6.71
2025-07-31T22:11:46+03:00,,,6.57
2025-07-31T22:14:47+03:00,,,6.51
2025-07-31T22:17:46+03:00,,,6.48
2025-07-31T22:20:46+03:00,,,6.48
2025-07-31T22:23:46+03:00,,,6.57
2025-07-31T22:26:46+03:00,,,6.65
2025-07-31T22:29:46+03:00,,,6.77
2025-07-31T22:32:46+03:00,,,6.85
2025-07-31T22:35:46+03:00,,,6.98
2025-07-31T22:38:46+03:00,,,7.09
2025-07-31T22:41:46+03:00,,,7.22
2025-07-31T22:44:46+03:00,,,7.36
2025-07-31T22:47:46+03:00,,,7.5
2025-07-31T22:50:46+03:00,,,7.6
2025-07-31T22:53:46+03:00,,,7.57
2025-07-31T22:56:46+03:00,,,7.51
2025-07-31T22:59:46+03:00,,,7.42
2025-07-31T23:02:46+03:00,,,7.3
2025-07-31T23:05:46+03:00,,,7.18
2025-07-31T23:08:46+03:00,,,7.06
2025-07-31T23:11:46+03:00,,,6.91
2025-07-31T23:14:46+03:00,,,6.77
2025-07-31T23:17:46+03:00,,,6.64
2025-07-31T23:20:46+03:00,,,6.53
2025-07-31T23:23:46+03:00,,,6.51
2025-07-31T23:26:46+03:00,,,6.51
2025-07-31T23:29:46+03:00,,,6.6
2025-07-31T23:32:46+03:00,,,6.68
2025-07-31T23:35:47+03:00,,,6.75
2025-07-31T23:38:46+03:00,,,6.88
2025-07-31T23:41:46+03:00,,,6.99
2025-07-31T23:44:46+03:00,,,7.12
2025-07-31T23:47:46+03:00,,,7.23
2025-07-31T23:50:46+03:00,,,7.36
2025-07-31T23:53:46+03:00,,,7.51
2025-07-31T23:56:46+03:00,,,7.6
